month,value
01,2.7176565656565663
02,3.2401010101010104
03,5.290292929292929
04,8.483848484848483
05,11.382979797979793
06,13.557787878787872
07,14.49360606060606
08,13.98708080808081
09,12.166858585858586
10,9.503181818181817
11,6.147252525252528
12,3.7288888888888887
